Hong Kong Exchanges and Clearing Limited 
          今天截至上午收市主板之證券賣空成交量
          賣空紀錄                         日期 : 14 APR 2025

                                          成交量
  代號   股票名稱                    股數           金額 
   3323  中國建材　　　　         434,000      1,783,180
   3328  交通銀行　　　　       2,890,000     19,053,470
   3337  安東油田服務　　         516,000        529,780
   3339  中國龍工　　　　         197,000        376,500
   3347  泰格醫藥　　　　          52,900      1,433,525
   3360  遠東宏信　　　　         219,000      1,361,140
   3369  秦港股份　　　　          35,500         79,175
   3380  龍光集團　　　　          13,000         11,310
   3383  雅居樂集團　　　          44,000         21,640
   3393  威勝控股　　　　          58,000        450,040
   3396  聯想控股　　　　         441,900      3,288,255
   3416  Ａ　ＧＸ國指備兌         342,000      3,445,935
   3454  南方美股七巨頭　          52,100        381,245
   3600  現代牙科　　　　          44,000        182,470
   3606  福耀玻璃　　　　         157,600      7,992,420
   3613  同仁堂國藥　　　           7,000         60,560
   3618  重慶農村商業銀行         912,000      4,916,850
   3633  中裕能源　　　　         153,000        664,020
   3650  KEEP                     36,800        157,090
   3668  兗煤澳大利亞　　             300          7,205
   3669  永達汽車　　　　         351,500        849,695
   3690  美團－Ｗ　　　　       1,919,100    278,738,770
   3692  翰森製藥　　　　       1,520,000     35,170,100
   3698  徽商銀行　　　　          84,000        219,300
   3709  贏家時尚　　　　          90,000        638,100
   3738  阜博集團　　　　         692,000      2,339,270
   3759  康龍化成　　　　         172,000      2,222,558
   3800  協鑫科技　　　　      19,870,000     16,677,380
   3808  中國重汽　　　　          74,500      1,391,220
   3866  青島銀行　　　　          92,000        286,600
   3868  信義能源　　　　         200,000        180,480
   3877  中國船舶租賃　　         368,000        601,160
   3888  金山軟件　　　　       5,559,000    208,391,940
   3896  金山雲　　　　　       3,970,000     29,698,420
   3898  時代電氣　　　　         102,100      3,088,610
   3899  中集安瑞科　　　         186,000      1,089,940
   3900  綠城中國　　　　       1,441,000     15,388,930
   3908  中金公司　　　　         516,400      7,132,928
   3918  金界控股　　　　         152,000        467,360
   3931  中創新航　　　　           3,000         47,776
   3933  聯邦制藥　　　　       2,040,000     26,981,480
   3939  萬國黃金集團　　         158,000      2,805,240
   3958  東方證券　　　　          46,400        202,472
   3968  招商銀行　　　　       2,753,000    120,302,650
   3969  中國通號　　　　         751,000      2,375,130
   3978  卓越教育集團　　          90,000        402,740
   3983  中海石油化學　　         268,000        499,600
   3988  中國銀行　　　　      31,749,000    139,996,810
   3990  美的置業　　　　         103,000        414,414
   3993  洛陽鉬業　　　　       7,848,000     45,218,640
   3996  中國能源建設　　         226,000        229,120
   3998  波司登　　　　　         556,000      2,190,260
   6030  中信証券　　　　       1,893,500     36,074,540
   6049  保利物業　　　　          17,000        535,150
   6055  中煙香港　　　　         105,000      2,408,950
   6060  眾安在�芋@　　　         256,900      2,838,312
   6066  中信建投証券　　          83,000        723,490
   6069  盛業　　　　　　         180,500      2,471,950
   6078  海吉亞醫療　　　         226,000      3,248,636
   6086  方舟健客　　　　           1,500          5,040
   6088  FIT HON TENG         10,381,000     21,376,100
   6098  碧桂園服務　　　         141,000        984,980
   6099  招商證券　　　　         236,400      2,943,160
   6110  滔搏　　　　　　         520,000      1,500,230
   6160  百濟神州　　　　       1,080,500    159,129,090
   6178  光大證券　　　　           5,000         34,610
   6181  老鋪黃金　　　　          42,600     34,123,600
   6185  康希諾生物　　　          30,400        934,870
   6186  中國飛鶴　　　　         925,000      5,730,630
   6198  青島港　　　　　          58,000        342,720
   6608  百融雲－Ｗ　　　         132,500        901,505
   6616  環球新材國際　　           4,000         14,000
   6618  京東健康　　　　       1,884,700     66,767,417
   6655  華新水泥　　　　          23,900        237,098
   6660  艾美疫苗　　　　           1,000          3,380
   6680  金力永磁　　　　         167,800      2,273,460
   6682  第四範式　　　　           4,500        180,995
   6690  海爾智家　　　　       2,058,200     45,895,020
   6699  時代天使　　　　          24,200      1,193,710
